recipe_id,recipe_name,ingredients,cooking_time_minutes,instructions
1,Aloo Gobi,"salt, cloves, carrot, mustard seeds, yogurt, ghee, rice, peas, mint",28,1. Mix the mint. 2. Boil the rice. 3. Fry the salt. 4. Simmer the carrot.
2,Baingan Bharta,"ghee, dal, cloves, green chili, ginger",16,1. Fry the ginger. 2. Add spices to the ginger. 3. Boil the ginger. 4. Grind the dal.
3,Bhindi Masala,"mustard seeds, oil, ginger, cloves, cumin",38,1. Mix the cloves. 2. Chop the cloves. 3. Fry the oil. 4. Add spices to the cumin.
4,Chana Masala,"oil, rice, spinach, cloves, lemon juice, turmeric, garlic, curry leaves",10,1. Pressure cook the rice. 2. Fry the cloves. 3. Add spices to the spinach. 4. Mix the rice.
5,Dal Tadka,"ghee, ginger, mustard seeds, paneer, salt, oil, spinach, yogurt, turmeric, garlic",28,1. Chop the paneer. 2. Add spices to the oil. 3. Grind the turmeric. 4. Pressure cook the ghee.
6,Rajma,"peas, coriander, curry leaves, cumin, green chili, dal, tomato",31,1. Chop the peas. 2. Grind the green chili. 3. Boil the coriander. 4. Simmer the peas.
7,Paneer Butter Masala,"potato, dal, cardamom, rice, onion, ginger, cumin",28,1. Simmer the potato. 2. Saute the onion. 3. Grind the dal. 4. Chop the potato.
8,Kadai Paneer,"garlic, turmeric, dal, salt, ginger, onion, ghee, potato, spinach",29,1. Pressure cook the ginger. 2. Grind the spinach. 3. Simmer the onion. 4. Boil the potato.
9,Palak Paneer,"ghee, lemon juice, potato, cumin, oil, dal, yogurt",39,1. Grind the ghee. 2. Mix the yogurt. 3. Saute the ghee. 4. Fry the lemon juice.
10,Matar Paneer,"curry leaves, tomato, cumin, butter, salt, rice, coriander, cloves",34,1. Grind the tomato. 2. Mix the cloves. 3. Pressure cook the tomato. 4. Fry the cloves.
11,Methi Malai Matar,"tomato, coriander, mustard seeds, cumin, cardamom, butter, ghee, spinach, carrot, rice",36,1. Pressure cook the coriander. 2. Chop the carrot. 3. Boil the cardamom. 4. Saute the mustard seeds.
12,Malai Kofta,"spinach, yogurt, garlic, curry leaves, turmeric, lemon juice",42,1. Saute the curry leaves. 2. Pressure cook the curry leaves. 3. Chop the turmeric. 4. Mix the spinach.
